Company,TypeName,Ram,OpSys,Weight,TouchScreen,IPSPanel,PPI,Cpu_Name,Gpu_Brand
HP,Notebook,4,Windows,1.86,0,0,141.21199808219862,AMD Processor,AMD
HP,Notebook,8,Windows,1.49,0,0,165.6321180513006,Intel Core i7,Intel
Acer,Notebook,4,Windows,2.4,0,0,100.45466986113651,Intel Core i3,Intel
Dell,Notebook,8,Windows,2.13,0,0,141.21199808219862,Intel Core i7,AMD
HP,Notebook,4,Windows,1.91,0,0,141.21199808219862,Intel Core i3,Intel
Asus,Notebook,4,Windows,2.0,0,0,100.45466986113651,Intel Core i5,Intel
MSI,Gaming,16,Windows,2.43,0,0,127.33567457123111,Intel Core i7,Nvidia
Asus,Notebook,4,others,2.0,0,0,141.21199808219862,Intel Core i3,Intel
Dell,Notebook,16,Windows,2.8,0,0,127.33567457123111,Intel Core i7,AMD
Dell,Ultrabook,8,Windows,1.7,0,0,157.3505121487356,Intel Core i5,Intel
Lenovo,Notebook,8,others,1.7,0,1,157.3505121487356,Intel Core i3,Intel
Asus,Notebook,8,Windows,1.4,0,0,157.3505121487356,Intel Core i5,Intel
HP,Notebook,8,Windows,1.86,0,0,141.21199808219862,Intel Core i5,Intel
Asus,Ultrabook,16,Windows,1.8,0,0,141.21199808219862,Intel Core i7,Nvidia
HP,Notebook,4,Windows,1.86,0,0,100.45466986113651,Intel Core i3,AMD
HP,Notebook,4,Windows,1.44,0,0,111.93520355955211,Other Intel Processor,Intel
Lenovo,Notebook,4,Windows,1.9,0,0,141.21199808219862,Intel Core i5,Intel
Asus,Gaming,12,others,3.0,0,0,127.33567457123111,Intel Core i7,Nvidia
Microsoft,Ultrabook,4,Windows,1.252,1,0,200.84255993695703,Intel Core i5,Intel
Dell,Ultrabook,8,Windows,1.4,0,1,165.6321180513006,Intel Core i7,AMD
Dell,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,AMD
MSI,Gaming,8,Windows,2.7,0,0,127.33567457123111,Intel Core i5,Nvidia
Acer,Notebook,8,Windows,2.1,0,0,111.93520355955211,Intel Core i3,Intel
Asus,Gaming,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,Nvidia
Lenovo,Notebook,8,others,2.2,0,0,141.21199808219862,Intel Core i5,Intel
Dell,Notebook,8,Windows,2.02,0,0,141.21199808219862,Intel Core i7,Intel
Acer,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,Nvidia
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,Nvidia
Dell,Ultrabook,8,Windows,1.88,0,1,141.21199808219862,Intel Core i5,Intel
Apple,Ultrabook,8,Mac,0.92,0,1,226.41554716935852,Intel Core i5,Intel
HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i5,Intel
Lenovo,Notebook,4,Windows,2.2,0,0,141.21199808219862,AMD Processor,AMD
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,AMD Processor,AMD
Dell,Gaming,16,Windows,2.65,0,1,141.21199808219862,Intel Core i7,Nvidia
HP,Ultrabook,8,Windows,1.83,0,1,141.21199808219862,Intel Core i7,Nvidia
HP,Notebook,8,Windows,1.96,0,0,141.21199808219862,Intel Core i5,Intel
Asus,Gaming,16,Windows,2.2,0,1,141.21199808219862,Intel Core i7,Nvidia
Dell,Ultrabook,8,Windows,1.21,0,1,165.6321180513006,Intel Core i7,Intel
Asus,Gaming,8,Windows,2.45,0,0,141.21199808219862,AMD Processor,AMD
Acer,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,Nvidia
HP,Notebook,16,Windows,1.49,0,0,165.6321180513006,Intel Core i7,Intel
Dell,Gaming,8,Windows,2.65,0,0,141.21199808219862,Intel Core i5,Nvidia
Asus,Ultrabook,8,Windows,1.25,0,0,157.3505121487356,Intel Core i7,Intel
Acer,2 in 1 Convertible,8,Windows,1.5,1,1,165.6321180513006,Intel Core i5,Intel
Dell,Notebook,8,others,2.2,0,0,141.21199808219862,Intel Core i7,AMD
Dell,Notebook,4,others,2.2,0,0,141.21199808219862,Intel Core i3,AMD
Asus,Notebook,6,Windows,2.0,0,0,141.21199808219862,Intel Core i3,Nvidia
HP,Gaming,12,Windows,2.62,0,1,141.21199808219862,Intel Core i7,Nvidia
HP,Notebook,8,Windows,1.91,0,0,141.21199808219862,Intel Core i7,AMD
HP,Notebook,4,Windows,2.1,0,0,141.21199808219862,AMD Processor,AMD
Dell,Notebook,8,others,2.2,0,0,141.21199808219862,Intel Core i5,AMD
HP,Ultrabook,8,Windows,1.38,0,1,165.6321180513006,Intel Core i7,Nvidia
Microsoft,Ultrabook,8,Windows,1.252,1,0,200.84255993695703,Intel Core i5,Intel
HP,Notebook,6,Windows,1.58,0,1,157.3505121487356,Intel Core i5,Nvidia
Lenovo,Notebook,4,Windows,1.85,0,0,141.21199808219862,Intel Core i3,Intel
Asus,Ultrabook,8,Windows,1.3,0,1,157.3505121487356,Intel Core i7,Nvidia
MSI,Gaming,16,Windows,2.2,0,0,141.21199808219862,Intel Core i7,Nvidia
Lenovo,Notebook,8,Windows,1.58,0,1,157.3505121487356,Intel Core i7,Intel
Asus,Ultrabook,16,Windows,1.5,0,0,141.21199808219862,Intel Core i7,Nvidia
Dell,Ultrabook,8,Windows,1.23,1,0,276.053530085501,Intel Core i7,Intel
Lenovo,2 in 1 Convertible,8,Windows,1.37,1,1,165.6321180513006,Intel Core i5,Intel
HP,Notebook,4,Windows,1.63,0,1,111.93520355955211,Intel Core i5,Intel
Dell,Ultrabook,8,Windows,1.21,0,1,165.6321180513006,Intel Core i5,Intel
HP,2 in 1 Convertible,8,Windows,1.26,1,1,165.6321180513006,Intel Core i5,Intel
HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i7,Intel
Dell,Notebook,8,Windows,2.16,0,1,141.21199808219862,Intel Core i7,Nvidia
Asus,Notebook,4,Windows,2.0,0,0,127.33567457123111,Intel Core i3,Nvidia
Asus,Notebook,8,Windows,1.7,0,0,141.21199808219862,Intel Core i7,Nvidia
Acer,Notebook,6,Windows,2.1,1,1,141.21199808219862,Intel Core i3,Intel
MSI,Gaming,16,Windows,1.8,0,0,141.21199808219862,Intel Core i7,Nvidia
Lenovo,Notebook,8,others,2.2,0,0,141.21199808219862,Intel Core i5,Nvidia
HP,Notebook,16,Windows,2.5,0,0,127.33567457123111,Intel Core i7,Nvidia
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,AMD Processor,AMD
HP,Notebook,4,others,1.86,0,0,100.45466986113651,Other Intel Processor,Intel
HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i5,Intel
Asus,Notebook,4,Windows,1.65,0,0,111.93520355955211,AMD Processor,AMD
Dell,Notebook,16,Windows,2.8,0,0,127.33567457123111,Intel Core i7,AMD
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,Intel
Dell,Notebook,8,Windows,2.36,0,0,100.45466986113651,Intel Core i5,AMD
Dell,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,AMD
Acer,Ultrabook,8,Windows,1.6,0,1,157.3505121487356,Intel Core i7,Intel
Acer,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,Nvidia
HP,Notebook,8,Windows,2.05,0,0,100.45466986113651,Intel Core i7,Intel
HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i7,Intel
Lenovo,Notebook,4,others,1.9,0,0,100.45466986113651,Other Intel Processor,Intel
Asus,Gaming,8,Windows,3.0,0,0,127.33567457123111,Intel Core i5,Nvidia
Lenovo,Notebook,4,others,2.2,0,0,141.21199808219862,Intel Core i5,Nvidia
HP,Notebook,4,Windows,1.32,0,1,165.6321180513006,Intel Core i5,Intel
Acer,Notebook,4,Windows,3.0,0,1,127.33567457123111,Intel Core i3,Nvidia
Lenovo,Notebook,8,Windows,1.75,0,1,157.3505121487356,Intel Core i5,AMD
Lenovo,Gaming,8,others,2.4,0,1,141.21199808219862,Intel Core i7,Nvidia
Toshiba,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i5,Intel
HP,Notebook,4,Windows,1.86,0,0,100.45466986113651,AMD Processor,AMD
Asus,Ultrabook,8,Windows,1.25,0,0,157.3505121487356,Intel Core i7,Intel
HP,Ultrabook,8,Windows,0.97,1,1,172.8002962960423,Other Intel Processor,Intel
Asus,Notebook,4,Windows,2.0,0,0,141.21199808219862,Other Intel Processor,Intel
MSI,Gaming,16,Windows,2.9,0,0,127.33567457123111,Intel Core i7,Nvidia
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i3,Intel
Dell,Gaming,16,Windows,2.56,0,0,141.21199808219862,Intel Core i7,Nvidia
Dell,Gaming,8,Windows,2.62,0,0,141.21199808219862,Intel Core i7,Nvidia
Lenovo,Notebook,4,Windows,1.9,0,0,100.45466986113651,Intel Core i5,Intel
MSI,Gaming,16,Windows,2.8,0,0,127.33567457123111,Intel Core i7,Nvidia
HP,Ultrabook,4,Windows,1.48,0,0,157.3505121487356,Intel Core i5,Intel
HP,Notebook,6,Windows,1.91,0,0,141.21199808219862,Intel Core i5,AMD
Lenovo,2 in 1 Convertible,4,Windows,1.74,1,1,157.3505121487356,Intel Core i3,Intel
Asus,2 in 1 Convertible,8,Windows,1.1,1,0,165.6321180513006,Intel Core i5,Intel
Dell,2 in 1 Convertible,8,Windows,1.56,1,0,141.21199808219862,Intel Core i7,Intel
Toshiba,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i3,Intel
Asus,Notebook,4,Windows,2.03,0,0,100.45466986113651,AMD Processor,AMD
Acer,Notebook,4,Windows,3.0,0,1,127.33567457123111,Intel Core i5,Nvidia
Dell,Notebook,8,Windows,2.13,0,0,141.21199808219862,Intel Core i5,AMD
Lenovo,Gaming,16,Windows,2.5,0,1,141.21199808219862,Intel Core i7,Nvidia
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Other Intel Processor,Intel
MSI,Gaming,16,Windows,2.4,0,1,141.21199808219862,Intel Core i7,Nvidia
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Other Intel Processor,Intel
Dell,Gaming,8,Windows,2.56,0,0,141.21199808219862,Intel Core i7,Nvidia
Acer,Notebook,8,Windows,3.0,0,1,127.33567457123111,Intel Core i5,Nvidia
HP,Notebook,4,Windows,1.49,0,1,165.6321180513006,Intel Core i5,Intel
Huawei,Ultrabook,8,Windows,1.05,0,1,199.69207064108247,Intel Core i5,Intel
HP,Notebook,6,Windows,2.71,0,1,127.33567457123111,Intel Core i5,AMD
Lenovo,Notebook,4,others,2.2,0,0,100.45466986113651,AMD Processor,AMD
Toshiba,Notebook,4,Windows,2.0,0,0,100.45466986113651,Intel Core i3,Intel
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,Nvidia
Dell,Notebook,8,Windows,2.3,0,0,100.45466986113651,Intel Core i3,Intel
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i3,Intel
MSI,Gaming,32,Windows,4.4,0,0,119.7232157653423,Intel Core i7,Nvidia
Lenovo,Notebook,8,Windows,1.9,0,0,141.21199808219862,Intel Core i5,AMD
HP,2 in 1 Convertible,8,Windows,1.29,1,1,162.40629351131793,Intel Core i5,Intel
Dell,Notebook,16,others,2.02,0,0,141.21199808219862,Intel Core i7,AMD
Dell,Ultrabook,8,Windows,1.23,0,0,165.6321180513006,Intel Core i5,Intel
Lenovo,2 in 1 Convertible,16,Windows,1.4,1,1,155.39594990651284,Intel Core i7,Intel
Toshiba,Notebook,8,Windows,2.0,0,0,100.45466986113651,Intel Core i5,Intel
Xiaomi,Notebook,8,others,1.95,0,1,141.21199808219862,Intel Core i5,Nvidia
Dell,Notebook,16,Windows,2.77,1,0,127.33567457123111,Intel Core i7,Nvidia
Dell,Notebook,16,Windows,2.06,1,0,138.46177587823902,Intel Core i7,Nvidia
Lenovo,Gaming,8,others,2.4,0,1,141.21199808219862,Intel Core i5,Nvidia
Acer,Ultrabook,8,Windows,1.12,0,1,165.6321180513006,Intel Core i5,Intel
Dell,Notebook,8,Windows,2.8,0,0,127.33567457123111,Intel Core i7,AMD
Lenovo,2 in 1 Convertible,16,Windows,1.42,1,0,209.8006828649808,Intel Core i7,Intel
Vero,Notebook,4,Windows,1.3,0,1,157.3505121487356,Other Intel Processor,Intel
Xiaomi,Ultrabook,8,others,1.3,0,1,165.6321180513006,Intel Core i5,Nvidia
Lenovo,Notebook,8,others,2.8,0,0,106.11306214269258,Intel Core i5,Nvidia
Dell,2 in 1 Convertible,8,Windows,1.62,1,1,165.6321180513006,Intel Core i7,Intel
HP,Notebook,8,Windows,2.5,0,1,127.33567457123111,Intel Core i5,Nvidia
Razer,Gaming,32,Windows,3.49,1,0,124.85570541621553,Intel Core i7,Nvidia
HP,Notebook,8,Windows,1.49,0,0,165.6321180513006,Intel Core i5,Intel
HP,Gaming,16,Windows,3.35,0,1,127.33567457123111,Intel Core i7,Nvidia
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i7,Nvidia
Dell,Gaming,16,Windows,2.65,0,1,138.46177587823902,Intel Core i7,Nvidia
Lenovo,Notebook,4,Windows,2.1,0,0,100.45466986113651,Intel Core i5,Intel
Acer,Notebook,8,Windows,2.23,0,0,141.21199808219862,Intel Core i7,Nvidia
Lenovo,Gaming,16,Windows,3.2,0,1,141.21199808219862,Intel Core i7,Nvidia
Dell,Workstation,16,Windows,2.8,0,0,138.46177587823902,Other Intel Processor,Nvidia
Lenovo,Gaming,16,others,2.4,0,0,141.21199808219862,Intel Core i7,Nvidia
Dell,Notebook,6,Windows,2.3,1,0,100.45466986113651,Intel Core i3,Intel
Dell,Ultrabook,8,Windows,1.21,1,1,162.40629351131793,Intel Core i7,Intel
Dell,Ultrabook,8,Windows,1.2,0,0,165.6321180513006,Intel Core i7,Intel
Lenovo,Notebook,8,Windows,2.2,0,0,100.45466986113651,Intel Core i5,Intel
Acer,Notebook,8,others,2.4,0,0,141.21199808219862,Intel Core i7,Nvidia
Asus,Gaming,16,Windows,2.9,0,0,127.33567457123111,Intel Core i7,Nvidia
HP,Notebook,4,others,2.1,0,0,141.21199808219862,Intel Core i3,Intel
Lenovo,Notebook,8,others,2.2,0,0,141.21199808219862,Intel Core i5,Intel
Huawei,Ultrabook,8,Windows,1.05,0,1,199.69207064108247,Intel Core i7,Intel
Dell,Ultrabook,8,Windows,1.4,0,1,165.6321180513006,Intel Core i7,AMD
Lenovo,Notebook,8,others,2.8,0,0,106.11306214269258,Intel Core i5,Nvidia
HP,Notebook,8,Windows,1.63,0,0,157.3505121487356,Intel Core i7,Nvidia
Dell,Ultrabook,8,Windows,1.6,0,0,157.3505121487356,Intel Core i5,Intel
Dell,2 in 1 Convertible,16,Windows,1.62,1,0,165.6321180513006,Intel Core i7,Intel
Dell,Notebook,8,others,2.2,0,0,141.21199808219862,Intel Core i5,AMD
Lenovo,2 in 1 Convertible,8,Windows,1.74,0,1,157.3505121487356,Intel Core i5,Intel
Toshiba,Ultrabook,8,Windows,1.2,0,0,165.6321180513006,Intel Core i7,Intel
HP,Notebook,8,Windows,2.1,0,0,141.21199808219862,Intel Core i5,Intel
Dell,Gaming,16,Windows,4.42,0,1,127.33567457123111,Intel Core i7,Nvidia
Acer,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,Nvidia
Dell,Notebook,16,Windows,2.3,1,0,141.21199808219862,Intel Core i7,AMD
Asus,Notebook,8,Windows,2.0,0,0,141.21199808219862,Intel Core i5,Nvidia
Asus,Notebook,8,Windows,2.69,0,0,127.33567457123111,Intel Core i5,Nvidia
HP,Notebook,8,Windows,1.9,0,0,141.21199808219862,Intel Core i7,AMD
Asus,Notebook,4,Windows,2.37,0,0,100.45466986113651,Intel Core i3,Intel
HP,Notebook,4,Windows,2.1,0,0,100.45466986113651,AMD Processor,AMD
Lenovo,Gaming,16,Windows,3.2,0,1,141.21199808219862,Intel Core i7,Nvidia
Dell,Notebook,8,Windows,1.6,0,0,157.3505121487356,Intel Core i5,Intel
Acer,2 in 1 Convertible,8,Windows,1.6,1,1,165.6321180513006,Intel Core i5,Intel
Dell,Notebook,16,others,2.36,0,0,141.21199808219862,Intel Core i7,AMD
Acer,Notebook,4,others,2.1,0,0,100.45466986113651,Intel Core i3,Intel
Asus,Notebook,4,Windows,2.2,0,0,141.21199808219862,AMD Processor,AMD
Asus,Gaming,32,Windows,4.7,0,0,127.33567457123111,Intel Core i7,Nvidia
Acer,Gaming,8,Windows,2.5,0,1,141.21199808219862,Intel Core i5,Nvidia
Lenovo,Notebook,8,Windows,2.2,0,0,100.45466986113651,Intel Core i3,Intel
Asus,Notebook,8,Windows,2.1,0,0,127.33567457123111,Intel Core i7,Nvidia
Asus,Notebook,8,others,2.69,0,0,127.33567457123111,Intel Core i7,Nvidia
Dell,Gaming,8,Windows,2.56,0,0,141.21199808219862,Intel Core i5,Nvidia
Lenovo,2 in 1 Convertible,8,Windows,1.38,1,1,158.48253022174808,Intel Core i7,Intel
Dell,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,AMD
HP,Notebook,8,Windows,2.04,1,0,100.45466986113651,Intel Core i5,Intel
Asus,Gaming,16,Windows,3.6,0,0,127.33567457123111,Intel Core i7,Nvidia
HP,Notebook,4,Windows,1.49,0,1,165.6321180513006,Intel Core i5,Intel
Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,Intel
Dell,2 in 1 Convertible,8,Windows,2.08,1,1,141.21199808219862,Intel Core i7,Intel
Asus,Gaming,16,Windows,4.3,0,0,127.33567457123111,Intel Core i7,Nvidia
Asus,Notebook,4,Windows,1.68,0,0,100.45466986113651,AMD Processor,AMD
Lenovo,2 in 1 Convertible,8,Windows,1.37,1,1,158.48253022174808,Intel Core i7,Intel
Acer,Notebook,4,Windows,3.0,0,1,127.33567457123111,Intel Core i3,Nvidia
Dell,Ultrabook,8,Windows,1.41,0,0,165.6321180513006,Intel Core i5,Intel
HP,Notebook,8,Windows,1.91,0,0,100.45466986113651,AMD Processor,AMD
HP,Notebook,16,Windows,2.9,0,1,127.33567457123111,Intel Core i7,Nvidia
MSI,Gaming,16,Windows,4.14,0,0,127.33567457123111,Intel Core i7,Nvidia
Lenovo,2 in 1 Convertible,8,Windows,2.0,1,1,141.21199808219862,Intel Core i7,Nvidia
Dell,Notebook,8,Windows,2.8,0,0,127.33567457123111,Intel Core i7,AMD
Lenovo,Notebook,4,others,2.2,0,0,141.21199808219862,Intel Core i3,Intel
HP,Notebook,4,Windows,2.1,0,1,141.21199808219862,Intel Core i5,Intel
Dell,Notebook,4,Windows,2.18,0,0,141.21199808219862,Intel Core i5,Intel
Dell,Notebook,8,Windows,2.24,0,0,141.21199808219862,Intel Core i5,AMD
Dell,2 in 1 Convertible,8,Windows,2.67,1,0,141.21199808219862,Intel Core i5,Intel
Asus,2 in 1 Convertible,8,Windows,1.1,1,0,165.6321180513006,Intel Core i7,Intel
Lenovo,Notebook,4,others,2.2,0,0,141.21199808219862,Intel Core i5,Intel
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i7,Nvidia
Lenovo,Notebook,8,Windows,2.05,0,0,141.21199808219862,Intel Core i7,Intel
Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,Intel
Asus,Gaming,16,Windows,3.2,0,0,127.33567457123111,AMD Processor,AMD
Dell,Notebook,8,others,2.14,0,0,141.21199808219862,Intel Core i7,AMD
Lenovo,2 in 1 Convertible,16,Windows,1.36,1,0,209.8006828649808,Intel Core i7,Intel
Toshiba,Notebook,8,Windows,2.2,0,0,100.45466986113651,Intel Core i7,Nvidia
Dell,Notebook,12,Windows,2.3,0,0,100.45466986113651,Intel Core i7,Intel
Dell,Notebook,8,others,2.8,0,0,127.33567457123111,Intel Core i7,AMD
Acer,Notebook,8,Windows,2.2,0,1,141.21199808219862,Intel Core i7,Nvidia
Lenovo,Notebook,4,Windows,2.8,0,0,106.11306214269258,Intel Core i3,Intel
Lenovo,Notebook,8,others,2.8,0,0,127.33567457123111,Intel Core i7,Nvidia
Lenovo,Notebook,6,Windows,2.8,0,0,106.11306214269258,Intel Core i7,Nvidia
Dell,Notebook,4,others,2.25,0,0,141.21199808219862,Intel Core i3,AMD
Lenovo,Gaming,8,Windows,2.5,0,1,141.21199808219862,Intel Core i5,Nvidia
Lenovo,Notebook,6,Windows,2.2,0,0,141.21199808219862,Intel Core i5,Intel
Acer,Notebook,8,Windows,3.0,0,1,141.21199808219862,Intel Core i7,Nvidia
Acer,Notebook,12,Windows,2.15,1,1,141.21199808219862,Intel Core i7,Intel
Lenovo,Notebook,8,Windows,1.95,0,1,141.21199808219862,Intel Core i7,Intel
Asus,Ultrabook,8,Windows,1.7,0,0,141.21199808219862,Intel Core i5,Nvidia
Lenovo,Gaming,16,Windows,2.5,0,1,141.21199808219862,Intel Core i7,Nvidia
Lenovo,Notebook,8,others,2.2,0,0,141.21199808219862,Intel Core i7,Nvidia
Acer,Notebook,2,others,2.19,0,0,100.45466986113651,Other Intel Processor,Intel
Asus,Gaming,8,Windows,3.0,0,0,127.33567457123111,Intel Core i7,Nvidia
HP,Notebook,8,Windows,2.54,0,0,106.11306214269258,Intel Core i3,Intel
Dell,Notebook,8,Windows,2.0,0,0,141.21199808219862,Intel Core i7,Nvidia
Lenovo,Notebook,8,Windows,2.05,0,0,141.21199808219862,Intel Core i5,Intel
Lenovo,Gaming,8,Windows,3.2,0,1,141.21199808219862,Intel Core i7,Nvidia
Acer,Notebook,8,others,2.5,0,0,141.21199808219862,Intel Core i7,Nvidia
Dell,Workstation,16,Windows,3.42,0,0,127.33567457123111,Intel Core i7,Nvidia
Lenovo,Notebook,6,Windows,2.4,0,0,141.21199808219862,AMD Processor,AMD
Asus,Ultrabook,16,Windows,1.63,0,0,141.21199808219862,Intel Core i7,Nvidia
Asus,Notebook,4,Windows,1.3,0,0,111.93520355955211,Intel Core i3,Intel
Asus,Gaming,16,Windows,2.9,0,0,127.33567457123111,Intel Core i7,Nvidia
Lenovo,Notebook,6,Windows,2.8,0,0,106.11306214269258,Intel Core i5,Nvidia
Lenovo,Notebook,8,others,2.2,0,0,100.45466986113651,Intel Core i5,Nvidia
Asus,Gaming,8,Windows,2.5,0,0,141.21199808219862,Intel Core i7,Nvidia
Lenovo,Notebook,4,others,2.2,0,0,100.45466986113651,Other Intel Processor,Intel
HP,2 in 1 Convertible,16,Windows,1.28,1,0,165.6321180513006,Intel Core i7,Intel
Toshiba,Notebook,8,Windows,2.2,0,1,141.21199808219862,Intel Core i7,Nvidia
Lenovo,Notebook,8,Windows,2.3,0,0,141.21199808219862,Intel Core i5,Nvidia
HP,Notebook,4,Windows,1.86,0,0,141.21199808219862,Intel Core i3,Intel
Lenovo,Notebook,8,Windows,1.1,0,1,165.6321180513006,Intel Core i5,Intel
Dell,Ultrabook,16,Windows,1.21,1,1,162.40629351131793,Intel Core i7,Intel
